faculty, name, id ,academicPoints, lectureHours, tutorialHours, labHours, projectHours, examA, examB, prequstite courses, linked courses
Civil and Environmental Engineering,Statistics,014003,3,0,2,0,0,6.2.2019,6.3.2019,104004,
Civil and Environmental Engineering,System Analysis,014004,3,0,2,0,0,28.1.2019,27.2.2019,014003&014603&234112,
Civil and Environmental Engineering,Engineering Laboratory,014005,1,0,0,2,0,10.3.2019,,014104,
Civil and Environmental Engineering,Introduction to Numerical Methods,014006,3,0,2,0,0,12.2.2019,8.3.2019,104004&104131&234112|104004&104131&234127,
Civil and Environmental Engineering,Graphical and Engineering Information,014008,3,0,2,0,0,30.1.2019,7.3.2019,,
Civil and Environmental Engineering,Introduction to Civil Engineering,014009,0,0,0,0,0,,,,
Civil and Environmental Engineering,Project in Structures,014101,2,0,2,0,2,,,,
Civil and Environmental Engineering,Intro.to Engineering Mechanics,014103,4,0,2,0,0,18.2.2019,14.3.2019,113013&113014,
Civil and Environmental Engineering,Strength of Materials 1,014104,4,0,2,0,0,,,014103,
Civil and Environmental Engineering,Introduction to the Theory of Elasticity,014107,2,0,1,0,0,17.2.2019,14.3.2019,014105&104131|014145&104131,
Civil and Environmental Engineering,Structural Analysis,014108,3,0,2,0,0,13.2.2019,10.3.2019,014104,
Civil and Environmental Engineering,Foundations,014113,2,0,0,0,1,11.2.2019,7.3.2019,014143&014149&014411,
Civil and Environmental Engineering,Extended Project - Part a,014131,2,0,0,0,2,,,,
Civil and Environmental Engineering,Extended Project Part B,014132,2,0,2,0,2,,,014131,
Civil and Environmental Engineering,Computer Methods in Structural Analysis,014143,3,0,2,0,0,1.2.2019,1.3.2019,014108,
Civil and Environmental Engineering,Strength of Materials 2,014145,5,0,2,0,0,18.2.2019,14.3.2019,014104,
Civil and Environmental Engineering,Conceptual Structural Design 1,014147,4,0,3,0,1,31.1.2019,28.2.2019,014148&014149&014150|014114&014140&014141|014114&014141&014150|014141&014148&014150|014140&014148&014149|014114&014140&014149,014113
Civil and Environmental Engineering,Concrete Structures 2,014149,4,0,3,0,2,19.2.2019,15.3.2019,014123,
Civil and Environmental Engineering,Struct Eng Topic for Excellent Students,014151,2,0,0,0,2,,,,
Civil and Environmental Engineering,Concrete Structures 1,014153,4,0,0,0,2,,,014008&014108&014505,
Civil and Environmental Engineering,Water Engineering Project 1,014201,2,0,2,0,0,,,014205,
Civil and Environmental Engineering,Hydraulics,014205,3,0,2,0,0,6.2.2019,7.3.2019,014211|054203|014214,
Civil and Environmental Engineering,Fluid Mechanics,014211,3,0,2,0,0,28.1.2019,28.2.2019,014104&104004&104019&114051|014104&104004&104019&114071|014104&104004&104019&114077,104131&104213&104218
Civil and Environmental Engineering,Introduction to Engin. Hydrology,014212,2,0,1,0,0,29.1.2019,27.2.2019,014003&014211|014003&014214,014205
Civil and Environmental Engineering,Fundamental Fluid Mechanics,014214,4,0,2,0,0,28.1.2019,28.2.2019,014104&104004&104019&114051|014104&104004&104019&114077|015007&104004&104019&114051|015007&104004&104019&114077,104131
